,Unnamed: 0,Comment,URL,Recommendations,Locations,EditorPick,userID,date,Sentiment,Sentiment_sent,Sentiment_b,Sentiment_b_sent,Subjectivity,Subjectivity_sent,Subjectivity_b,Subjectivity_b_sent,Candidate,State,City,latitude,longitude
37546,37546,"Its pretty amazing the way the Times is covering this campaign so far. When writing about Hillary she's ""Queen Hillary"" who won't talk to the self-important political journalists. With Sanders its ""he's a socialist who can't win."" (No, he's not a ""socialist."" Journalists need to do something different, like listen to Sanders as he describes himself.) While Republicans from Jeb! Bush, to Chris Christie to Scott Walker (in today's Times) get big fat wet kisses. The overpaid, pampered American political press is filled with juvenile idiots who should actually get off their butts and do some research about POLICY. Tell us where candidates stand on issues and how they will address them if they become President. The endless horse race coverage and talking points today's journalists report on should be left to the tabloids. Unfortunately, its not.",http://www.nytimes.com/2015/07/09/upshot/why-bernie-sanderss-momentum-is-not-built-to-last.html,76.0,"Gainesville, FL",0.0,2264379.0,1436368127.0,-0.0485294117647,0.8,0,1,0.494117647059,0.8,1,1,Biden,FL,Gainesville,27.8333,-81.717
37547,37547,Bernie teams up with Paul or someone from the south...,http://www.nytimes.com/2015/07/09/upshot/why-bernie-sanderss-momentum-is-not-built-to-last.html,4.0,"Naples, FL",0.0,1326148.0,1436364004.0,0.0,0.0,1,1,0.0,0.0,1,1,Biden,FL,Naples,27.8333,-81.717
37548,37548,I love this man and everything he wants to do to save this nation from oligarchy. I'd rather go down fighting for the last best hope to save this nation rather than elect another corporatist shill for Walk Street Billionaires.,http://www.nytimes.com/times-insider/2015/07/07/can-bernie-sanders-beat-hillary-clinton-reporters-notebook/,2.0,Florida,0.0,40598324.0,1436359103.0,0.390740740741,0.411111111111,1,1,0.375925925926,0.411111111111,1,1,Biden,FL,,27.8333,-81.717
37549,37549,"If that's a serious question, the obvious answer is: NO!",http://www.nytimes.com/times-insider/2015/07/07/can-bernie-sanders-beat-hillary-clinton-reporters-notebook/,8.0,"Palm Beach, FL",0.0,68905730.0,1436318095.0,-0.166666666667,-0.166666666667,0,0,0.583333333333,-0.166666666667,1,0,Biden,FL,Palm Beach,27.8333,-81.717
37550,37550,There is still another dimension still developing - social media..There is still much more to do in developing this.  Sanders may be an important new user of these developing technologies.,http://www.nytimes.com/times-insider/2015/07/07/can-bernie-sanders-beat-hillary-clinton-reporters-notebook/,2.0,"Saint Augustine, FL",0.0,44901735.0,1436316804.0,0.267424242424,0.5,1,1,0.505303030303,0.5,1,1,Biden,FL,Saint Augustine,27.8333,-81.717
37551,37551,"An article in the 8-21 June issue of Aviation Week references a Harvard Business Review article by Will Lazanick that noted while corporate profits are 33% higher than pre-recession levels, capital expenditure budgets are stagnant.  According to him, the critical reason for the shift to share buybacks is the impact it has on wealth creation for those at the very top, which leaves little for capital expenditures or employee wage increases.  Guess it proves that greed dominates today's American business decisions.  Wonder what candidates for President think about this?  Anyone for tax reform?",http://www.nytimes.com/2015/07/07/upshot/why-a-meaningful-boost-for-those-at-the-bottom-requires-help-from-the-top.html,15.0,"Melbourne, FL",0.0,60036046.0,1436308118.0,0.144642857143,0.154166666667,1,1,0.35,0.154166666667,1,1,Biden,FL,Melbourne,27.8333,-81.717
37552,37552,"""Two chickens in every pot"" Empty promises by privileged politicians never change.  No surprise that the leading vote in every election is no vote at all. ",http://www.nytimes.com/2015/07/07/us/politics/hillary-clintons-team-is-wary-as-bernie-sanders-finds-footing-in-iowa.html,2.0,florida,0.0,66475889.0,1436269468.0,-0.1,-0.1,0,0,0.5,-0.1,1,0,Biden,FL,,27.8333,-81.717
37553,37553,"America, we desperately need a bloodless revolution to take the republic back to Constitutionality and the two parties are nothing but bought and sold criminals. We must use the Libertarian Party as the vehicle to fill the presidency and unify the nation.Research me for I am leading this effort that should it fail, our republic and civilization will be lost. My credentials are as solid as a diamond which is vital. Nobody is perfect but you will see that my unusual background, rational plans and abilities will carry the day and will prove I am more than suitable for the job. Nobody else figured out that this must be accomplished by taking over the Libertarian Party and abandoning the GOP.  I patented monitored firearm storage before anybody as an example of my intellectual prowess and desire to solve life threatening problems.Once we strategically shut shop on the GOP, the whistleblowers will pour out of the woodwork, many to save their own hides once they know it will not benefit their enemy, the GOP.",http://www.nytimes.com/2015/07/07/us/politics/hillary-clintons-team-is-wary-as-bernie-sanders-finds-footing-in-iowa.html,2.0,"Saint Cloud, FL",0.0,69676255.0,1436260813.0,0.219230769231,0.5625,1,1,0.573076923077,0.5625,1,1,Biden,FL,Saint Cloud,27.8333,-81.717
37554,37554,"Hillary's got the money, but Bernie's got the people who realise that government of the money, by the money and for the money has done us about as much good as the AIDS epidemic. With, all too often, horribly similar end results.She's got another problem, as well. All too many of us remember 'Hillarycare', concocted with the help of longtime friends Ira ""I consider myself a social engineer"" Magaziner and Judith ""Physicians must be fettered"" Feder (Actual quotes; you CAN'T make this up); it would have, thanks to that strange and constraining idea called 'managed competition', literally turned the country into one humongous HMO. (Magaziner and Feder's intent all along, by the way. I can only assume that, up to that time at least, they were virtually perfectly healthy. Nobody in their right mind who WASN'T would want to know from such a system; it would even have required special permission for treatment outside of your designated geographic region!) Obamacare, with all its many problems, is a walk in the park by comparison. And you'd want this person for your President?Viva Bernie!!",http://www.nytimes.com/2015/07/07/us/politics/hillary-clintons-team-is-wary-as-bernie-sanders-finds-footing-in-iowa.html,9.0,"West Palm Beach, FL",0.0,33647677.0,1436249056.0,0.181715029762,0.7,1,1,0.385863095238,0.7,1,1,Biden,FL,West Palm Beach,27.8333,-81.717
37555,37555,"Hillary isn't really worried.  She know that Bernie will eventually flame out for lack of campaign money.  She will probably get elected on the Lesser Evil theory, but that doesn't mean she isn't evil in terms of the well being of the average person, just not viciously evil as so many Republicans aspire to be.",http://www.nytimes.com/2015/07/07/us/politics/hillary-clintons-team-is-wary-as-bernie-sanders-finds-footing-in-iowa.html,1.0,"Miami, FL",0.0,3125003.0,1436243933.0,0.05078125,-0.208928571429,1,0,0.6609375,-0.208928571429,1,0,Biden,FL,Miami,27.8333,-81.717
37556,37556,Bernie is electable.,http://www.nytimes.com/2015/07/07/us/politics/hillary-clintons-team-is-wary-as-bernie-sanders-finds-footing-in-iowa.html,13.0,"Jacksonville, Florida",0.0,52506023.0,1436240298.0,0.0,0.0,1,1,0.0,0.0,1,1,Biden,FL,Jacksonville,27.8333,-81.717
