,Unnamed: 0,Candidate,City,Comment,EditorPick,Locations,Recommendations,Sentiment,Sentiment_b,Sentiment_b_sent,Sentiment_sent,State,Subjectivity,Subjectivity_b,Subjectivity_b_sent,Subjectivity_sent,URL,Unnamed: 0.1,Unnamed: 0.1,date,latitude,longitude,userID
32047,605,Biden,Gainesville,"Its pretty amazing the way the Times is covering this campaign so far. When writing about Hillary she's ""Queen Hillary"" who won't talk to the self-important political journalists. With Sanders its ""he's a socialist who can't win."" (No, he's not a ""socialist."" Journalists need to do something different, like listen to Sanders as he describes himself.) While Republicans from Jeb! Bush, to Chris Christie to Scott Walker (in today's Times) get big fat wet kisses. The overpaid, pampered American political press is filled with juvenile idiots who should actually get off their butts and do some research about POLICY. Tell us where candidates stand on issues and how they will address them if they become President. The endless horse race coverage and talking points today's journalists report on should be left to the tabloids. Unfortunately, its not.",0.0,"Gainesville, FL",76,-0.0485294117647,0,1,0.8,FL,0.494117647059,1,1,0.8,http://www.nytimes.com/2015/07/09/upshot/why-bernie-sanderss-momentum-is-not-built-to-last.html,,,2015-07-08 08:08:47,27.8333,-81.717,2264379.0
32048,606,Biden,Naples,Bernie teams up with Paul or someone from the south...,0.0,"Naples, FL",4,0.0,1,1,0.0,FL,0.0,1,1,0.0,http://www.nytimes.com/2015/07/09/upshot/why-bernie-sanderss-momentum-is-not-built-to-last.html,,,2015-07-08 07:00:04,27.8333,-81.717,1326148.0
32049,607,Biden,,I love this man and everything he wants to do to save this nation from oligarchy. I'd rather go down fighting for the last best hope to save this nation rather than elect another corporatist shill for Walk Street Billionaires.,0.0,Florida,2,0.390740740741,1,1,0.411111111111,FL,0.375925925926,1,1,0.411111111111,http://www.nytimes.com/times-insider/2015/07/07/can-bernie-sanders-beat-hillary-clinton-reporters-notebook/,,,2015-07-08 05:38:23,27.8333,-81.717,40598324.0
32050,608,Biden,Palm Beach,"If that's a serious question, the obvious answer is: NO!",0.0,"Palm Beach, FL",8,-0.166666666667,0,0,-0.166666666667,FL,0.583333333333,1,0,-0.166666666667,http://www.nytimes.com/times-insider/2015/07/07/can-bernie-sanders-beat-hillary-clinton-reporters-notebook/,,,2015-07-07 18:14:55,27.8333,-81.717,68905730.0
32051,609,Biden,Saint Augustine,There is still another dimension still developing - social media..There is still much more to do in developing this.  Sanders may be an important new user of these developing technologies.,0.0,"Saint Augustine, FL",2,0.267424242424,1,1,0.5,FL,0.505303030303,1,1,0.5,http://www.nytimes.com/times-insider/2015/07/07/can-bernie-sanders-beat-hillary-clinton-reporters-notebook/,,,2015-07-07 17:53:24,27.8333,-81.717,44901735.0
32052,610,Biden,Melbourne,"An article in the 8-21 June issue of Aviation Week references a Harvard Business Review article by Will Lazanick that noted while corporate profits are 33% higher than pre-recession levels, capital expenditure budgets are stagnant.  According to him, the critical reason for the shift to share buybacks is the impact it has on wealth creation for those at the very top, which leaves little for capital expenditures or employee wage increases.  Guess it proves that greed dominates today's American business decisions.  Wonder what candidates for President think about this?  Anyone for tax reform?",0.0,"Melbourne, FL",15,0.144642857143,1,1,0.154166666667,FL,0.35,1,1,0.154166666667,http://www.nytimes.com/2015/07/07/upshot/why-a-meaningful-boost-for-those-at-the-bottom-requires-help-from-the-top.html,,,2015-07-07 15:28:38,27.8333,-81.717,60036046.0
32053,611,Biden,,"""Two chickens in every pot"" Empty promises by privileged politicians never change.  No surprise that the leading vote in every election is no vote at all. ",0.0,florida,2,-0.1,0,0,-0.1,FL,0.5,1,0,-0.1,http://www.nytimes.com/2015/07/07/us/politics/hillary-clintons-team-is-wary-as-bernie-sanders-finds-footing-in-iowa.html,,,2015-07-07 04:44:28,27.8333,-81.717,66475889.0
32054,612,Biden,Saint Cloud,"America, we desperately need a bloodless revolution to take the republic back to Constitutionality and the two parties are nothing but bought and sold criminals. We must use the Libertarian Party as the vehicle to fill the presidency and unify the nation.Research me for I am leading this effort that should it fail, our republic and civilization will be lost. My credentials are as solid as a diamond which is vital. Nobody is perfect but you will see that my unusual background, rational plans and abilities will carry the day and will prove I am more than suitable for the job. Nobody else figured out that this must be accomplished by taking over the Libertarian Party and abandoning the GOP.  I patented monitored firearm storage before anybody as an example of my intellectual prowess and desire to solve life threatening problems.Once we strategically shut shop on the GOP, the whistleblowers will pour out of the woodwork, many to save their own hides once they know it will not benefit their enemy, the GOP.",0.0,"Saint Cloud, FL",2,0.219230769231,1,1,0.5625,FL,0.573076923077,1,1,0.5625,http://www.nytimes.com/2015/07/07/us/politics/hillary-clintons-team-is-wary-as-bernie-sanders-finds-footing-in-iowa.html,,,2015-07-07 02:20:13,27.8333,-81.717,69676255.0
32055,613,Biden,West Palm Beach,"Hillary's got the money, but Bernie's got the people who realise that government of the money, by the money and for the money has done us about as much good as the AIDS epidemic. With, all too often, horribly similar end results.She's got another problem, as well. All too many of us remember 'Hillarycare', concocted with the help of longtime friends Ira ""I consider myself a social engineer"" Magaziner and Judith ""Physicians must be fettered"" Feder (Actual quotes; you CAN'T make this up); it would have, thanks to that strange and constraining idea called 'managed competition', literally turned the country into one humongous HMO. (Magaziner and Feder's intent all along, by the way. I can only assume that, up to that time at least, they were virtually perfectly healthy. Nobody in their right mind who WASN'T would want to know from such a system; it would even have required special permission for treatment outside of your designated geographic region!) Obamacare, with all its many problems, is a walk in the park by comparison. And you'd want this person for your President?Viva Bernie!!",0.0,"West Palm Beach, FL",9,0.181715029762,1,1,0.7,FL,0.385863095238,1,1,0.7,http://www.nytimes.com/2015/07/07/us/politics/hillary-clintons-team-is-wary-as-bernie-sanders-finds-footing-in-iowa.html,,,2015-07-06 23:04:16,27.8333,-81.717,33647677.0
32056,614,Biden,Miami,"Hillary isn't really worried.  She know that Bernie will eventually flame out for lack of campaign money.  She will probably get elected on the Lesser Evil theory, but that doesn't mean she isn't evil in terms of the well being of the average person, just not viciously evil as so many Republicans aspire to be.",0.0,"Miami, FL",1,0.05078125,1,0,-0.208928571429,FL,0.6609375,1,0,-0.208928571429,http://www.nytimes.com/2015/07/07/us/politics/hillary-clintons-team-is-wary-as-bernie-sanders-finds-footing-in-iowa.html,,,2015-07-06 21:38:53,27.8333,-81.717,3125003.0
